Training Day,Complete basic training,qexploration,1,1,20,EXPLORATION
Goblin Trouble,Defeat 5 goblins,qcombat,1,2,30,COMBAT
Herb Gathering,Collect healing herbs,qgathering,1,1,15,GATHERING
New Recruit,Reach level 2,qsurvival,1,1,10,SURVIVAL
Forest Patrol,Patrol the nearby forest,qexploration,1,3,40,EXPLORATION
Bandit Skirmish,Defeat bandit scouts,qcombat,1,3,50,COMBAT
Village Guard,Protect the village,qdefense,1,2,25,DEFENSE
Apprentice Training,Learn basic spells,qmagic,1,2,35,MAGIC
Lost Puppy,Find the lost puppy,qexploration,1,1,10,EXPLORATION
Potion Ingredients,Gather ingredients for a potion,qgathering,1,2,30,GATHERING
Weapon Practice,Train with wooden weapons,qcombat,2,2,40,COMBAT
Novice Journey,Reach level 3,qsurvival,2,1,25,SURVIVAL
River Crossing,Cross the dangerous river,qexploration,2,3,60,EXPLORATION
Wolf Hunt,Hunt the rogue wolf,qcombat,2,3,50,COMBAT
Farm Defense,Defend the farm from pests,qdefense,2,2,35,DEFENSE
Mystic Training,Learn an advanced spell,qmagic,2,3,55,MAGIC
Mushroom Gathering,Gather rare mushrooms,qgathering,2,2,45,GATHERING
Map the Woods,Explore and map the woods,qexploration,2,2,50,EXPLORATION
Herbal Remedy,Collect herbs for a remedy,qgathering,3,2,60,GATHERING
Orc Battle,Defeat the orc warrior,qcombat,3,3,90,COMBAT
Village Watch,Guard the village at night,qdefense,3,2,55,DEFENSE
Adept Journey,Reach level 4,qsurvival,3,1,35,SURVIVAL
Secret Cave,Explore the hidden cave,qexploration,3,3,80,EXPLORATION
Magic Experiment,Assist in a magic experiment,qmagic,3,3,75,MAGIC
Lost Treasure,Find the hidden treasure,qexploration,3,2,70,EXPLORATION
Bandit Ambush,Survive a bandit ambush,qcombat,4,3,100,COMBAT
Cursed Forest,Investigate the cursed forest,qexploration,4,3,110,EXPLORATION
Potion Master,Create a powerful potion,qmagic,4,2,90,MAGIC
Goblin Chief,Defeat the goblin chief,qcombat,4,3,120,COMBAT
Fortress Defense,Defend the fortress,qdefense,4,2,85,DEFENSE
Alchemical Research,Research new alchemical recipes,qmagic,4,3,115,MAGIC
Hunt the Beast,Hunt the wild beast,qcombat,4,3,100,COMBAT
Miner's Request,Find precious minerals,qgathering,4,2,95,GATHERING
Jungle Expedition,Explore the deep jungle,qexploration,5,3,150,EXPLORATION
