Stats
Health,273
Mana,251
Level,11
Exp,85
Strength,16
Agility,21
Intelligence,41
Defense,32
Dexterity,5

Equipped Gear
HELMET,Fortified Helm
CHESTPLATE,Cracked Shield
LEGGINGS,Agile Greaves
BOOTS,Old Boots
WEAPON,Farmhand's Pitchfork
RING,Emerald Ring
NECKLACE,Torn Scarf
BRACELET,Ancient Bracers

Inventory
Stick
Old Boots
Rusted Sword
Old Amulet
Cracked Shield
Farmhand's Pitchfork
Spellbound Gauntlet
Agile Greaves
Rusty Sword
Torn Scarf
Fortified Helm
Basic Shirt
Bent Dagger
Ancient Bracers
Emerald Ring
Roughspun Trousers
Stained Cloak
Wooden Club
Loose Sandals
Cloth Gloves
Stained Cloak
Old Necklace
Amulet of the Seraphim
