Stats
Health,538
Mana,377
Level,13
Exp,485
Strength,43
Agility,92
Intelligence,37
Defense,124
Dexterity,0

Equipped Gear
HELMET,Helm of the Titan
CHESTPLATE,Armor of the Fallen
LEGGINGS,Sorcerer's Leggings
BOOTS,Boots of the Wanderer
WEAPON,Glinting Dagger
RING,Ring of the Immortal
NECKLACE,Crystal Necklace
BRACELET,Iron Bangle

Inventory
Sorcerer's Leggings
Iron Bangle
Glinting Dagger
Boots of the Wanderer
Helm of the Titan
Armor of the Fallen
Crystal Necklace
Ring of the Immortal
Starfall Amulet
